juid,借款金额,借款期限,借款利率,借款成功日期,初始评级,借款类型,是否首标,年龄,性别,手机认证,户口认证,视频认证,学历认证,征信认证,淘宝认证,历史成功借款次数,历史成功借款金额,总待还本金,历史正常还款期数,历史逾期还款期数,我的投资金额,当前到期期数,当前还款期数,已还本金,已还利息,待还本金,待还利息,标当前逾期天数,标当前状态,上次还款日期,上次还款本金,上次还款利息,下次计划还款日期,下次计划还款本金,下次计划还款利息,recorddate
8094382,2000,12,20.0,2016-01-27,C,APP闪电,是,19,0,0,0,0,0,0,0,0,0,0.0,0,0,50,11,10,40.91,5.39,9.09,0.17,5,3,2016-11-28,4.4,0.23,2016-12-27,4.48,0.15,2016/12/31
18364919,5340,12,22.0,2016-08-24,C,其他,否,38,0,1,0,0,0,0,0,1,6000,2659.79,4,3,55,6,5,21.46,4.27,33.54,2.5,5,3,2017-01-24,4.45,0.69,2017-02-24,4.54,0.61,2017/2/28
22106547,7367,6,20.0,2016-10-14,C,其他,否,29,1,1,0,0,1,0,0,1,6700,3532.38,6,0,58,4,3,28.28,2.43,29.72,0.99,15,3,2017-01-18,9.59,0.65,2017-02-14,9.74,0.5,2017/2/28
22501890,3121,12,20.0,2016-10-19,C,其他,否,22,1,0,0,0,1,0,0,1,5000,2878.35,4,0,58,4,4,18.07,3.42,39.93,3.05,0,1,2017-02-19,4.63,0.75,2017-03-19,4.7,0.67,2017/2/28
23081024,3634,12,20.0,2016-10-25,C,其他,否,29,1,0,0,0,1,0,0,1,9000,5465.56,5,0,58,4,6,58.0,4.09,0.0,0.0,0,2,2017-02-24,35.23,0.0,,0.0,0.0,2017/2/28
23359973,7755,12,18.0,2016-10-28,B,其他,否,30,1,1,0,0,1,0,0,6,40703,15697.7,30,0,58,4,3,13.54,2.41,44.46,3.39,1,3,2017-01-31,4.58,0.74,2017-02-28,4.65,0.66,2017/2/28
23656933,10200,9,18.0,2016-11-08,B,普通,是,31,1,0,0,0,1,0,0,0,0,0.0,0,0,55,3,3,17.52,2.21,37.48,1.99,0,1,2017-02-09,5.93,0.65,2017-03-08,6.01,0.57,2017/2/28
24199341,5900,6,18.0,2016-11-07,B,APP闪电,是,23,0,0,0,0,0,0,0,0,0,0.0,0,0,50,3,4,50.0,2.0,0.0,0.0,0,2,2017-02-17,25.56,0.12,,0.0,0.0,2017/2/28
8231290,9000,12,20.0,2016-02-01,C,普通,是,37,1,0,0,0,1,0,0,0,0,0.0,0,0,50,12,10,41.96,5.39,8.04,0.17,59,3,2017-02-06,4.4,0.23,2017-01-01,3.43,0.15,2017/2/28
18709751,6000,6,18.0,2016-08-31,B,APP闪电,否,31,0,0,0,0,0,0,0,2,1828,1030.77,5,0,50,6,5,41.35,2.53,8.65,0.12,1,3,2017-02-05,8.52,0.26,2017-02-28,8.65,0.12,2017/2/28
